<omega>	pairs	n_of_seqs	file
0.92	6	4	my_70834_TR30562-c0_g1_i1_aln.fna
0.42	6	4	my_138771_TR16848-c0_g1_i1_aln.fna
0	10	5	my_21655_TR4158-c1_g1_i1_aln.fna
0	15	6	my_64333_TR1389-c0_g1_i1_aln.fna
0	6	4	my_136438_TR35692-c0_g1_i1_aln.fna
0.91	6	4	my_184238_TCONS_00018787_aln.fna
0	15	6	my_96722_TR35959-c0_g1_i1_aln.fna
0	28	8	my_94496_TR11066-c0_g1_i1_aln.fna
0.57	28	8	my_33325_TR32406-c1_g1_i1_aln.fna
0	91	14	my_23967_TR27513-c0_g1_i1_aln.fna
0	10	5	my_32245_TR5258-c0_g1_i1_aln.fna
0.02	66	12	my_140117_TR10496-c0_g1_i1_aln.fna
0	45	10	my_20283_TR2484-c1_g1_i1_aln.fna
0	6	4	my_411623_MLOC_12284_aln.fna
0	15	6	my_100247_TR31227-c0_g1_i1_aln.fna
0.77	6	4	my_35013_TR10807-c0_g1_i1_aln.fna
0	10	5	my_31144_TR27170-c0_g1_i1_aln.fna
0.03	6	4	my_34509_TR35895-c3_g1_i1_aln.fna
0.77	15	6	my_69811_TR20133-c0_g1_i1_aln.fna
0.15	10	5	my_183278_TCONS_00050547_aln.fna
0.48	15	6	my_59549_TR3773-c0_g1_i1_aln.fna
0	6	4	my_93802_TR14622-c0_g1_i1_aln.fna
0	15	6	my_30336_TR159-c0_g1_i1_aln.fna
0.1	6	4	my_62809_TR14129-c0_g1_i1_aln.fna
0.88	6	4	my_334680_TR3631-c0_g1_i1_aln.fna
0.14	10	5	my_95967_TR28969-c0_g1_i1_aln.fna
0	15	6	my_185058_TCONS_00007966_aln.fna
0.41	10	5	my_63455_TR13271-c0_g1_i1_aln.fna
0	91	14	my_19596_TR5575-c0_g1_i1_aln.fna
0.04	91	14	my_16454_TR26584-c0_g1_i1_aln.fna
0.1	78	13	my_25619_TR10985-c0_g1_i1_aln.fna
0.19	15	6	my_31068_TR19470-c0_g1_i1_aln.fna
0.49	45	10	my_15482_TR14182-c0_g1_i1_aln.fna
0	6	4	my_298171_TR4421-c0_g1_i1_aln.fna
0.03	28	8	my_21697_TR18903-c0_g1_i1_aln.fna
0.19	21	7	my_94919_TR6013-c0_g1_i1_aln.fna
0	10	5	my_96214_TR5901-c0_g1_i1_aln.fna
0	10	5	my_137440_TR8966-c0_g1_i1_aln.fna
0	10	5	my_65005_TR31655-c0_g1_i1_aln.fna
0	15	6	my_57762_TR18675-c0_g1_i1_aln.fna
0	15	6	my_60719_TR31289-c0_g1_i1_aln.fna
0.24	36	9	my_56189_TR29931-c0_g1_i1_aln.fna
0.16	36	9	my_24164_TR6966-c0_g1_i1_aln.fna
0	6	4	my_300066_TR7046-c1_g1_i1_aln.fna
0	120	16	my_19445_TR10034-c0_g1_i1_aln.fna
0.77	36	9	my_31209_TR35312-c0_g2_i2_aln.fna
0.39	28	8	my_21864_TR2973-c0_g1_i2_aln.fna
0	45	10	my_23725_TR8692-c0_g1_i1_aln.fna
0.62	6	4	my_217083_TR3614-c0_g1_i1_aln.fna
0.04	120	16	my_19830_TR33327-c0_g2_i1_aln.fna
0.66	15	6	my_14219_TR32582-c0_g1_i1_aln.fna
0	78	13	my_24274_TR30895-c0_g1_i1_aln.fna
0.66	10	5	my_65984_TR13160-c0_g1_i1_aln.fna
0.4	6	4	my_93707_TR27587-c0_g1_i1_aln.fna
0.12	6	4	my_153590_TCONS_00007210_aln.fna
0	6	4	my_139548_TR22258-c0_g1_i1_aln.fna
1.94	10	5	my_297178_TR7587-c0_g1_i1_aln.fna
0	28	8	my_22512_TR2487-c0_g1_i1_aln.fna
0	10	5	my_32790_TR5325-c0_g1_i1_aln.fna
0.19	21	7	my_43732_TR35485-c0_g1_i1_aln.fna
0	6	4	my_185592_TCONS_00019216_aln.fna
0.13	36	9	my_20167_TR25171-c0_g1_i1_aln.fna
0.29	15	6	my_21851_TR34550-c0_g1_i1_aln.fna
0.63	10	5	my_294889_TR33336-c0_g2_i6_aln.fna
0.2	105	15	my_17122_TR4612-c0_g1_i1_aln.fna
0.21	6	4	my_30075_TR7986-c0_g1_i1_aln.fna
0	10	5	my_31307_TR8563-c0_g1_i1_aln.fna
0	55	11	my_32251_TR5729-c0_g1_i1_aln.fna
0.53	6	4	my_45882_TR24779-c0_g1_i1_aln.fna
0	10	5	my_34657_TR26956-c0_g1_i1_aln.fna
0.02	15	6	my_63040_TR18297-c0_g1_i1_aln.fna
0	28	8	my_19496_TR33362-c0_g1_i1_aln.fna
0.01	45	10	my_29280_TR9169-c0_g1_i1_aln.fna
0.68	15	6	my_26627_TR17343-c1_g2_i1_aln.fna
0	15	6	my_14140_TR36145-c0_g1_i1_aln.fna
0	6	4	my_20607_TR20307-c0_g1_i1_aln.fna
0	6	4	my_35617_TR2583-c0_g1_i2_aln.fna
0	15	6	my_68672_TR3382-c0_g1_i1_aln.fna
0.01	55	11	my_50955_TR4949-c0_g1_i1_aln.fna
0.08	28	8	my_65314_TR36106-c2_g1_i1_aln.fna
0.01	36	9	my_32241_TR4852-c0_g1_i1_aln.fna
0	15	6	my_32084_TR24709-c0_g1_i1_aln.fna
0.62	10	5	my_67940_TR21954-c0_g1_i1_aln.fna
0	10	5	my_31730_TR15530-c0_g1_i5_aln.fna
0.55	6	4	my_24987_TR20221-c3_g6_i1_aln.fna
0.09	105	15	my_33568_TR9574-c0_g1_i1_aln.fna
0	10	5	my_140492_TR8256-c0_g1_i1_aln.fna
0	6	4	my_137804_TR18915-c0_g1_i1_aln.fna
0.02	15	6	my_163858_TCONS_00049721_aln.fna
0	6	4	my_34838_TR21502-c0_g1_i1_aln.fna
0	28	8	my_30975_TR6729-c0_g1_i1_aln.fna
0	10	5	my_101692_TR1859-c1_g1_i1_aln.fna
0	6	4	my_24190_TR13571-c0_g1_i1_aln.fna
0	120	16	my_14852_TR11213-c0_g1_i1_aln.fna
0	120	16	my_17463_TR13369-c1_g1_i1_aln.fna
0.12	15	6	my_30284_TR30574-c0_g1_i1_aln.fna
0.07	15	6	my_25557_TR35006-c1_g1_i1_aln.fna
0	6	4	my_138786_TR19809-c0_g1_i1_aln.fna
0	6	4	my_35415_TR4452-c0_g1_i1_aln.fna
0.14	91	14	my_22951_TR20197-c1_g2_i6_aln.fna
0	6	4	my_35471_TR12554-c0_g1_i1_aln.fna
0.37	120	16	my_17639_TR2048-c0_g1_i1_aln.fna
0.07	6	4	my_455582_TR9736-c0_g2_i1_aln.fna
0	6	4	my_55798_TR19238-c0_g1_i1_aln.fna
0	28	8	my_31274_TR5471-c0_g1_i1_aln.fna
0	10	5	my_61646_TR29827-c0_g1_i1_aln.fna
0.06	120	16	my_18461_TR19449-c0_g1_i1_aln.fna
0	10	5	my_28773_TR3187-c0_g1_i1_aln.fna
0.71	6	4	my_251408_TR10086-c0_g1_i5_aln.fna
0.45	15	6	my_186830_TCONS_00047738_aln.fna
0.13	10	5	my_94818_TR17797-c0_g1_i1_aln.fna
0	21	7	my_103561_TR13907-c0_g1_i1_aln.fna
0	6	4	my_96734_TR1349-c0_g1_i1_aln.fna
0	6	4	my_137497_TR16163-c0_g1_i1_aln.fna
0	15	6	my_34079_TR28214-c0_g1_i1_aln.fna
0	45	10	my_29084_TR13847-c0_g1_i1_aln.fna
0	6	4	my_217509_TR29609-c1_g1_i1_aln.fna
0.41	6	4	my_297226_TR13908-c0_g1_i1_aln.fna
1.28	55	11	my_24736_TR32957-c1_g1_i1_aln.fna
0	6	4	my_299850_TR18102-c0_g1_i1_aln.fna
0.29	15	6	my_182064_TCONS_00008293_aln.fna
0	6	4	my_35988_TR32192-c0_g3_i1_aln.fna
0	6	4	my_68381_TR20625-c0_g1_i1_aln.fna
0	28	8	my_22308_TR12150-c0_g1_i1_aln.fna
0.6	6	4	my_60897_TR32374-c0_g1_i1_aln.fna
1.25	10	5	my_23576_TR3043-c0_g1_i1_aln.fna
0.11	6	4	my_100192_TR24054-c1_g1_i1_aln.fna
0.37	6	4	my_27819_TR5548-c0_g2_i1_aln.fna
0.16	6	4	my_62561_TR8735-c0_g1_i1_aln.fna
0.01	45	10	my_22499_TR35571-c2_g2_i1_aln.fna
0.58	6	4	my_27055_TR17145-c0_g1_i1_aln.fna
0	36	9	my_23473_TR9496-c0_g1_i1_aln.fna
0.14	6	4	my_48199_TR5657-c0_g1_i1_aln.fna
0.18	10	5	my_26155_TR4848-c0_g1_i1_aln.fna
0	10	5	my_131074_TR16439-c5_g2_i1_aln.fna
0	6	4	my_33562_TR9074-c0_g1_i1_aln.fna
0.1	15	6	my_62757_TR5783-c1_g1_i1_aln.fna
0	28	8	my_26011_TR14240-c0_g1_i1_aln.fna
0.18	15	6	my_22098_TR15603-c0_g1_i1_aln.fna
0.2	78	13	my_23882_TR11003-c0_g1_i1_aln.fna
0.06	36	9	my_27033_TR13903-c0_g1_i1_aln.fna
0.26	6	4	my_35106_TR25186-c0_g2_i1_aln.fna
0.68	10	5	my_176021_TCONS_00037431_aln.fna
0.38	15	6	my_258045_TR25861-c0_g1_i1_aln.fna
0	6	4	my_98377_TR5872-c0_g1_i1_aln.fna
0	6	4	my_258548_TR35074-c0_g1_i1_aln.fna
0	10	5	my_25495_TR20153-c0_g1_i1_aln.fna
0	28	8	my_25066_TR2706-c0_g1_i1_aln.fna
0.45	10	5	my_332088_TR28054-c0_g1_i1_aln.fna
0.31	10	5	my_180267_TCONS_00013751_aln.fna
0	15	6	my_99196_TR27619-c0_g1_i1_aln.fna
0	10	5	my_57529_TR18608-c0_g1_i3_aln.fna
0.42	6	4	my_100796_TR35854-c0_g1_i1_aln.fna
0	45	10	my_33639_TR25495-c0_g1_i1_aln.fna
0	55	11	my_22947_TR19076-c0_g2_i1_aln.fna
0	15	6	my_219738_TR24850-c0_g1_i1_aln.fna
0.64	36	9	my_30858_TR27882-c0_g3_i1_aln.fna
0.63	120	16	my_13557_TR8336-c0_g1_i1_aln.fna
0.61	6	4	my_284813_TR19138-c0_g1_i1_aln.fna
0.76	10	5	my_101732_TR6307-c0_g1_i1_aln.fna
0	6	4	my_32775_TR1721-c1_g1_i1_aln.fna
0.54	10	5	my_137346_TR35124-c0_g1_i1_aln.fna
0	6	4	my_256075_TR1688-c0_g1_i1_aln.fna
0	6	4	my_298720_TR8809-c0_g1_i1_aln.fna
0	120	16	my_4223_TR14833-c0_g2_i1_aln.fna
0	15	6	my_101945_TR33806-c0_g1_i2_aln.fna
0	10	5	my_62799_TR12900-c0_g1_i1_aln.fna
0.87	21	7	my_21830_TR27414-c1_g1_i1_aln.fna
0	28	8	my_23731_TR10346-c0_g1_i1_aln.fna
0.36	21	7	my_17291_TR33736-c0_g1_i1_aln.fna
0.41	6	4	my_136850_TR16646-c0_g1_i1_aln.fna
1.02	15	6	my_128122_TR28217-c5_g2_i8_aln.fna
0.2	6	4	my_29813_TR12181-c0_g1_i1_aln.fna
0	6	4	my_100326_TR5946-c2_g1_i1_aln.fna
0.11	15	6	my_29869_TR19271-c0_g2_i1_aln.fna
0	21	7	my_34192_TR13238-c0_g1_i1_aln.fna
0	6	4	my_135034_TR29187-c1_g1_i1_aln.fna
0.62	21	7	my_70422_TR23951-c5_g1_i1_aln.fna
0	45	10	my_58622_TR31057-c0_g1_i1_aln.fna
0.18	21	7	my_45470_TR17514-c0_g1_i1_aln.fna
0	36	9	my_138290_TR1427-c0_g1_i1_aln.fna
0	66	12	my_26884_TR26684-c0_g1_i2_aln.fna
0	10	5	my_28547_TR5591-c0_g1_i1_aln.fna
0.27	6	4	my_217499_TR26960-c0_g1_i1_aln.fna
0	120	16	my_19341_TR33316-c0_g1_i3_aln.fna
0	6	4	my_137312_TR31432-c0_g1_i1_aln.fna
0.01	120	16	my_15368_TR22213-c0_g1_i1_aln.fna
0.07	55	11	my_25371_TR28319-c0_g3_i1_aln.fna
0	6	4	my_137842_TR23706-c0_g1_i1_aln.fna
0.38	10	5	my_32079_TR24452-c0_g1_i1_aln.fna
0.29	28	8	my_60912_TR34443-c0_g1_i1_aln.fna
0.57	15	6	my_100876_TR10137-c0_g1_i1_aln.fna
0	21	7	my_64415_TR12451-c0_g1_i1_aln.fna
1.44	10	5	my_59914_TR12807-c0_g2_i1_aln.fna
0.35	6	4	my_91288_TR14646-c0_g1_i5_aln.fna
0	6	4	my_33709_TR833-c0_g1_i1_aln.fna
0.16	120	16	my_8658_TR4806-c0_g1_i1_aln.fna
0.62	36	9	my_92303_TR883-c2_g1_i1_aln.fna
0.53	15	6	my_94309_TR33780-c1_g1_i1_aln.fna
0.15	120	16	my_13971_TR9255-c0_g2_i1_aln.fna
0.12	6	4	my_61215_TR25260-c0_g1_i1_aln.fna
0	6	4	my_35431_TR7072-c0_g1_i1_aln.fna
0	6	4	my_68979_TR1539-c0_g1_i1_aln.fna
0.51	21	7	my_35001_TR9888-c0_g1_i1_aln.fna
0.79	15	6	my_28829_TR11828-c0_g1_i1_aln.fna
0.09	45	10	my_25596_TR5387-c0_g1_i1_aln.fna
0.23	6	4	my_55419_TR17427-c0_g1_i1_aln.fna
0.71	10	5	my_93003_TR4731-c1_g1_i5_aln.fna
0.79	45	10	my_26745_TR847-c0_g1_i1_aln.fna
0	10	5	my_71132_TR9100-c0_g1_i1_aln.fna
0	6	4	my_185918_TCONS_00021751_aln.fna
0.45	21	7	my_29615_TR22844-c0_g1_i1_aln.fna
0.51	6	4	my_91493_TR23688-c0_g1_i1_aln.fna
0	10	5	my_186952_TCONS_00049017_aln.fna
0	6	4	my_58212_TR34378-c0_g1_i1_aln.fna
0	6	4	my_31110_TR23951-c0_g1_i1_aln.fna
0	10	5	my_34243_TR19719-c0_g1_i1_aln.fna
0	45	10	my_20797_TR31520-c0_g1_i1_aln.fna
0.18	15	6	my_141441_TR28938-c0_g1_i1_aln.fna
0	10	5	my_64500_TR24805-c0_g1_i1_aln.fna
0	45	10	my_64273_TR28460-c0_g1_i1_aln.fna
0	10	5	my_26463_TR25176-c0_g1_i1_aln.fna
0.46	10	5	my_33067_TR21266-c0_g1_i1_aln.fna
0.43	6	4	my_56359_TR12426-c0_g1_i1_aln.fna
0	6	4	my_216523_TR8050-c0_g1_i1_aln.fna
0.76	6	4	my_60067_TR8249-c0_g2_i3_aln.fna
0	15	6	my_248808_TR28769-c0_g1_i1_aln.fna
0	6	4	my_102093_TR14448-c0_g1_i1_aln.fna
0.21	28	8	my_60059_TR6375-c0_g1_i1_aln.fna
0	6	4	my_61285_TR3339-c0_g1_i1_aln.fna
1.25	10	5	my_210545_TR11900-c0_g1_i1_aln.fna
0.66	10	5	my_26506_TR32433-c0_g1_i2_aln.fna
0.44	10	5	my_132614_TR10363-c0_g1_i1_aln.fna
0	15	6	my_24223_TR18243-c0_g1_i1_aln.fna
0.24	78	13	my_17622_TR29698-c0_g1_i1_aln.fna
0.35	10	5	my_66518_TR8336-c0_g1_i1_aln.fna
0	6	4	my_210202_TR12643-c0_g1_i1_aln.fna
0.78	6	4	my_30588_TR31304-c0_g1_i1_aln.fna
0.14	21	7	my_247517_TR34559-c0_g1_i1_aln.fna
0.39	6	4	my_25911_TR31077-c0_g1_i1_aln.fna
0	6	4	my_28300_TR3056-c1_g1_i1_aln.fna
0	10	5	my_19029_TR1736-c0_g1_i1_aln.fna
0.08	6	4	my_23592_TR6937-c0_g1_i1_aln.fna
0	6	4	my_91962_TR33430-c0_g1_i1_aln.fna
0	66	12	my_18678_TR17223-c0_g1_i1_aln.fna
0	6	4	my_27680_TR17676-c0_g1_i1_aln.fna
0	6	4	my_420379_MLOC_8673_aln.fna
0	120	16	my_17524_TR18191-c4_g8_i1_aln.fna
0.37	15	6	my_99075_TR9253-c0_g1_i1_aln.fna
0.52	45	10	my_34866_TR25567-c0_g1_i1_aln.fna
0.32	10	5	my_256983_TR26570-c0_g1_i1_aln.fna
0	6	4	my_32340_TR15608-c0_g1_i1_aln.fna
0.23	10	5	my_35605_TR839-c1_g1_i1_aln.fna
0	10	5	my_104000_TR21909-c0_g2_i4_aln.fna
0.42	21	7	my_55637_TR33821-c0_g1_i1_aln.fna
0	45	10	my_70532_TR8520-c0_g1_i1_aln.fna
0	10	5	my_135738_TR16553-c0_g1_i1_aln.fna
0	45	10	my_30360_TR4287-c0_g1_i2_aln.fna
0	21	7	my_26492_TR28780-c1_g1_i1_aln.fna
0	66	12	my_24772_TR3631-c0_g2_i1_aln.fna
0	21	7	my_135486_TR18446-c0_g1_i1_aln.fna
0	120	16	my_13414_TR5922-c0_g1_i1_aln.fna
0	28	8	my_33869_TR28896-c0_g1_i1_aln.fna
0.28	10	5	my_34368_TR7787-c0_g1_i1_aln.fna
0	10	5	my_130655_TR23717-c0_g1_i1_aln.fna
0.29	28	8	my_33665_TR29628-c0_g1_i1_aln.fna
0	120	16	my_27541_TR28019-c0_g1_i1_aln.fna
1.89	6	4	my_65904_TR2808-c0_g1_i1_aln.fna
0.97	45	10	my_71076_TR26-c0_g1_i1_aln.fna
0.87	6	4	my_90683_TR19295-c0_g1_i1_aln.fna
0	10	5	my_97707_TR27886-c1_g1_i1_aln.fna
0	6	4	my_134153_TR15634-c2_g1_i1_aln.fna
0.07	120	16	my_25526_TR27447-c0_g1_i1_aln.fna
0	120	16	my_31775_TR21755-c0_g1_i1_aln.fna
0.44	36	9	my_98688_TR19494-c0_g1_i1_aln.fna
0.7	28	8	my_25504_TR22209-c0_g1_i1_aln.fna
0.24	45	10	my_69432_TR18250-c1_g1_i1_aln.fna
0.05	36	9	my_29354_TR20279-c0_g1_i1_aln.fna
0	36	9	my_26194_TR13150-c2_g1_i1_aln.fna
0	10	5	my_22763_TR4998-c0_g2_i1_aln.fna
0.83	6	4	my_256321_TR12817-c0_g4_i1_aln.fna
0	15	6	my_65348_TR5025-c0_g1_i1_aln.fna
0.04	6	4	my_34201_TR14216-c0_g1_i1_aln.fna
0.44	6	4	my_56151_TR13446-c0_g1_i1_aln.fna
0.83	15	6	my_26762_TR3893-c0_g1_i1_aln.fna
0	10	5	my_32620_TR11984-c0_g2_i1_aln.fna
0	6	4	my_136838_TR13989-c0_g1_i1_aln.fna
0.7	21	7	my_132276_TR26043-c2_g1_i1_aln.fna
0.02	91	14	my_33052_TR18402-c0_g1_i1_aln.fna
0	45	10	my_32980_TR4043-c2_g1_i1_aln.fna
0	6	4	my_21663_TR7476-c0_g1_i1_aln.fna
0	36	9	my_65856_TR31863-c0_g1_i1_aln.fna
0	36	9	my_60904_TR33014-c0_g1_i1_aln.fna
0	6	4	my_103873_TR144-c0_g1_i1_aln.fna
1.22	15	6	my_27734_TR26610-c0_g1_i1_aln.fna
0	6	4	my_182004_TCONS_00033041_aln.fna
0	28	8	my_26792_TR7641-c0_g1_i2_aln.fna
0.25	15	6	my_34239_TR19467-c0_g1_i1_aln.fna
0.48	10	5	my_253962_TR9746-c0_g1_i1_aln.fna
0.18	21	7	my_248917_TR10708-c0_g1_i1_aln.fna
0.04	6	4	my_30704_TR9015-c0_g1_i1_aln.fna
0.14	21	7	my_55371_TR922-c0_g1_i1_aln.fna
0	6	4	my_85300_TR24258-c0_g1_i1_aln.fna
0	10	5	my_134642_TR14356-c0_g2_i1_aln.fna
0	15	6	my_57219_TR28817-c0_g1_i1_aln.fna
0	120	16	my_12746_TR34224-c0_g1_i1_aln.fna
0	10	5	my_57304_TR17904-c0_g1_i1_aln.fna
0.16	10	5	my_53941_TR33862-c4_g1_i4_aln.fna
0.2	6	4	my_159763_TCONS_00019499_aln.fna
0.02	10	5	my_136471_TR4431-c0_g1_i1_aln.fna
0	36	9	my_69753_TR7136-c0_g1_i1_aln.fna
0	10	5	my_70247_TR28582-c0_g1_i1_aln.fna
0	6	4	my_133794_TR30538-c0_g1_i1_aln.fna
0	105	15	my_17353_TR28146-c0_g1_i1_aln.fna
59.82	45	10	my_67597_TR23435-c0_g1_i1_aln.fna
0	6	4	my_31637_TR7153-c0_g2_i1_aln.fna
0	6	4	my_23122_TR26987-c1_g1_i1_aln.fna
0	15	6	my_67375_TR33798-c0_g1_i1_aln.fna
0	10	5	my_65346_TR4902-c0_g1_i1_aln.fna
1.3	10	5	my_65613_TR3065-c0_g1_i1_aln.fna
0	15	6	my_135433_TR11235-c0_g1_i1_aln.fna
0.48	6	4	my_258358_TR1334-c0_g1_i1_aln.fna
0	10	5	my_35955_TR23989-c0_g3_i1_aln.fna
0	10	5	my_67321_TR27262-c0_g2_i1_aln.fna
0.05	21	7	my_35255_TR11981-c0_g1_i1_aln.fna
0	10	5	my_30705_TR9107-c0_g1_i1_aln.fna
0	55	11	my_34256_TR21779-c0_g1_i1_aln.fna
0.3	6	4	my_69430_TR18042-c1_g1_i1_aln.fna
0.02	45	10	my_16784_TR7795-c0_g1_i1_aln.fna
0	66	12	my_55993_TR28712-c0_g1_i1_aln.fna
0.03	10	5	my_33201_TR9033-c0_g1_i1_aln.fna
1.31	6	4	my_254167_TR29957-c0_g1_i1_aln.fna
0	6	4	my_70238_TR27083-c0_g1_i1_aln.fna
0	28	8	my_33795_TR13865-c0_g1_i1_aln.fna
0	10	5	my_134737_TR26086-c0_g1_i1_aln.fna
0.04	55	11	my_57221_TR29542-c0_g1_i1_aln.fna
0.3	10	5	my_100267_TR34230-c0_g1_i1_aln.fna
0	6	4	my_62739_TR2774-c0_g1_i1_aln.fna
0	120	16	my_30811_TR22352-c0_g1_i1_aln.fna
0	91	14	my_29686_TR33464-c0_g1_i1_aln.fna
0.44	21	7	my_63187_TR3625-c0_g1_i1_aln.fna
0	45	10	my_29140_TR24347-c0_g2_i1_aln.fna
1.18	10	5	my_105211_TR13273-c0_g1_i1_aln.fna
1.5	10	5	my_90940_TR14658-c0_g1_i1_aln.fna
0.41	6	4	my_160073_TCONS_00043878_aln.fna
0	6	4	my_33500_TR32670-c0_g1_i1_aln.fna
0.26	45	10	my_23958_TR24814-c0_g1_i1_aln.fna
0.23	6	4	my_94201_TR4258-c0_g1_i1_aln.fna
0	28	8	my_35974_TR28266-c2_g1_i1_aln.fna
0.02	21	7	my_33617_TR21631-c0_g1_i1_aln.fna
0.54	15	6	my_98900_TR18450-c2_g1_i1_aln.fna
0.03	15	6	my_58504_TR185-c0_g1_i1_aln.fna
0	91	14	my_23193_TR11404-c0_g1_i1_aln.fna
0	6	4	my_68241_TR29505-c0_g1_i1_aln.fna
0	15	6	my_26961_TR3602-c1_g1_i1_aln.fna
0	15	6	my_19087_TR27670-c0_g1_i1_aln.fna
0	6	4	my_96851_TR22910-c0_g1_i1_aln.fna
0	6	4	my_34926_TR34179-c0_g1_i1_aln.fna
0	10	5	my_23086_TR17335-c0_g1_i1_aln.fna
0.39	6	4	my_169293_TCONS_00013703_aln.fna
0	6	4	my_30637_TR416-c0_g1_i1_aln.fna
0	36	9	my_21473_TR18864-c0_g1_i1_aln.fna
0	10	5	my_102254_TR29951-c0_g2_i1_aln.fna
0	21	7	my_24057_TR17625-c0_g1_i1_aln.fna
0	21	7	my_33130_TR32823-c0_g1_i1_aln.fna
0.8	6	4	my_31866_TR34462-c0_g1_i1_aln.fna
0	6	4	my_19797_TR21125-c0_g1_i1_aln.fna
0.16	6	4	my_129370_TR18273-c0_g1_i1_aln.fna
0.73	78	13	my_68271_TR34213-c0_g1_i1_aln.fna
0	15	6	my_139337_TR22078-c0_g3_i1_aln.fna
0	120	16	my_4183_TR10613-c0_g1_i1_aln.fna
0.68	6	4	my_106515_TR19703-c0_g1_i1_aln.fna
0	21	7	my_65449_TR17138-c0_g3_i3_aln.fna
0.02	6	4	my_22691_TR20777-c0_g1_i1_aln.fna
0.57	105	15	my_19095_TR31134-c0_g1_i1_aln.fna
0	10	5	my_212044_TR12447-c0_g1_i1_aln.fna
0	6	4	my_62652_TR27007-c0_g1_i1_aln.fna
0	6	4	my_53985_TR20742-c0_g1_i1_aln.fna
0	6	4	my_60238_TR9085-c0_g1_i1_aln.fna
0	6	4	my_216577_TR14078-c0_g1_i1_aln.fna
0	120	16	my_20357_TR31175-c0_g1_i1_aln.fna
0.26	6	4	my_20998_TR31041-c0_g1_i1_aln.fna
0.81	10	5	my_25098_TR8591-c0_g2_i1_aln.fna
0.18	15	6	my_68044_TR33233-c0_g1_i1_aln.fna
0.07	21	7	my_22241_TR22133-c1_g1_i1_aln.fna
0	15	6	my_34382_TR10186-c0_g1_i1_aln.fna
0	10	5	my_98226_TR15974-c1_g1_i1_aln.fna
0.56	15	6	my_213254_TR4253-c0_g1_i1_aln.fna
0.42	10	5	my_130426_TR6901-c0_g1_i1_aln.fna
0	6	4	my_35173_TR36062-c0_g1_i1_aln.fna
0	15	6	my_141112_TR10637-c0_g1_i1_aln.fna
0	120	16	my_29403_TR26920-c0_g1_i1_aln.fna
0	10	5	my_185310_TCONS_00029070_aln.fna
0	6	4	my_28832_TR12427-c0_g1_i1_aln.fna
0	120	16	my_23169_TR5167-c0_g1_i1_aln.fna
0	6	4	my_62276_TR30181-c0_g1_i1_aln.fna
0.64	10	5	my_61611_TR22360-c0_g1_i1_aln.fna
0.32	15	6	my_26496_TR30203-c1_g1_i1_aln.fna
0.12	21	7	my_132213_TR16687-c0_g1_i1_aln.fna
0	10	5	my_22039_TR28658-c4_g1_i1_aln.fna
0	6	4	my_64497_TR23833-c0_g1_i1_aln.fna
0.31	15	6	my_51692_TR35011-c1_g1_i1_aln.fna
0	6	4	my_35132_TR29983-c0_g1_i1_aln.fna
0	36	9	my_25222_TR32827-c0_g1_i1_aln.fna
0	6	4	my_66660_TR25546-c0_g1_i1_aln.fna
0.36	6	4	my_62376_TR10243-c0_g1_i1_aln.fna
0.42	78	13	my_56342_TR8954-c0_g1_i1_aln.fna
1.03	36	9	my_26610_TR13061-c0_g1_i1_aln.fna
0.81	6	4	my_140078_TR3281-c0_g1_i1_aln.fna
0	15	6	my_122941_TR21215-c0_g1_i1_aln.fna
0.15	15	6	my_69984_TR16439-c1_g1_i1_aln.fna
0.51	6	4	my_71077_TR76-c2_g2_i4_aln.fna
0.36	10	5	my_99252_TR613-c0_g1_i1_aln.fna
0	36	9	my_32309_TR12126-c0_g1_i1_aln.fna
0	10	5	my_69333_TR35959-c0_g1_i1_aln.fna
0	10	5	my_132576_TR3925-c0_g1_i1_aln.fna
0	120	16	my_30623_TR36073-c0_g1_i1_aln.fna
0.23	15	6	my_96710_TR33245-c0_g1_i1_aln.fna
0	36	9	my_27703_TR20715-c0_g1_i1_aln.fna
0.22	55	11	my_27093_TR25576-c0_g1_i1_aln.fna
0.03	120	16	my_12227_TR4591-c0_g1_i1_aln.fna
0	28	8	my_101441_TR10363-c0_g1_i1_aln.fna
0	15	6	my_21988_TR6053-c0_g1_i1_aln.fna
0	120	16	my_13159_TR23143-c0_g1_i1_aln.fna
0	45	10	my_24060_TR17877-c0_g1_i1_aln.fna
0	66	12	my_29638_TR25733-c0_g1_i1_aln.fna
0.42	10	5	my_27574_TR34613-c0_g1_i1_aln.fna
0.18	6	4	my_30849_TR26251-c3_g1_i1_aln.fna
0.08	10	5	my_128091_TR15503-c1_g5_i5_aln.fna
0	36	9	my_20132_TR12324-c0_g1_i1_aln.fna
0.31	15	6	my_55193_TR7202-c0_g1_i1_aln.fna
1.04	6	4	my_105595_TR8506-c1_g1_i1_aln.fna
0.17	10	5	my_100631_TR14263-c0_g1_i1_aln.fna
0.1	10	5	my_25431_TR2876-c0_g1_i1_aln.fna
0	10	5	my_23254_TR26632-c0_g1_i1_aln.fna
0	6	4	my_101184_TR13588-c0_g1_i2_aln.fna
0.04	36	9	my_33342_TR34502-c0_g2_i1_aln.fna
0.17	10	5	my_211424_TR7732-c0_g1_i1_aln.fna
0	15	6	my_35477_TR14504-c0_g2_i2_aln.fna
0.35	10	5	my_136017_TR15131-c0_g2_i1_aln.fna
